import time: self [us] | cumulative | imported package
import time:        71 |         71 | winreg
import time:       163 |        163 |   _io
import time:        27 |         27 |   marshal
import time:       214 |        214 |   nt
import time:       473 |        876 | _frozen_importlib_external
import time:       604 |        604 |   time
import time:       228 |        832 | zipimport
import time:        45 |         45 |     _codecs
import time:       428 |        473 |   codecs
import time:       842 |        842 |   encodings.aliases
import time:      1560 |       2874 | encodings
import time:       464 |        464 | encodings.utf_8
import time:       440 |        440 | encodings.cp1252
import time:        34 |         34 | _signal
import time:        25 |         25 |     _abc
import time:       175 |        199 |   abc
import time:       126 |        325 | io
import time:        76 |         76 |       _stat
import time:       118 |        193 |     stat
import time:       744 |        744 |     _collections_abc
import time:        71 |         71 |       genericpath
import time:        73 |         73 |       _winapi
import time:       206 |        348 |     ntpath
import time:       525 |       1808 |   os
import time:        77 |         77 |   _sitebuiltins
import time:        47 |         47 |   errno
import time:       450 |        450 |   encodings.utf_8_sig
import time:       496 |        496 |     __future__
import time:       102 |        102 |         itertools
import time:       517 |        517 |         keyword
import time:        55 |         55 |           _operator
import time:       589 |        644 |         operator
import time:       504 |        504 |         reprlib
import time:        52 |         52 |         _collections
import time:      1274 |       3089 |       collections
import time:        48 |         48 |         _functools
import time:      1001 |       1049 |       functools
import time:       598 |        598 |       types
import time:       779 |       5514 |     contextlib
import time:      1788 |       7798 |   _virtualenv
import time:       992 |        992 |   _distutils_hack
import time:      1303 |       1303 |     pywin32_system32
import time:      1563 |       2865 |   pywin32_bootstrap
import time:      1090 |       1090 |   sitecustomize
import time:      4736 |      19859 | site
import time:      1488 |       1488 |             enum
import time:        63 |         63 |               _sre
import time:       617 |        617 |                 re._constants
import time:       685 |       1301 |               re._parser
import time:       370 |        370 |               re._casefix
import time:       842 |       2575 |             re._compiler
import time:       532 |        532 |             copyreg
import time:       960 |       5553 |           re
import time:       749 |        749 |               posix
import time:       710 |        710 |               posix
import time:       122 |       1580 |             posixpath
import time:       537 |       2116 |           fnmatch
import time:       852 |       8521 |         glob
import time:       810 |       9330 |       pathlib._abc
import time:       805 |        805 |         warnings
import time:       903 |        903 |         pwd
import time:       832 |        832 |         grp
import time:      1092 |       3630 |       pathlib._local
import time:       655 |      13615 |     pathlib
import time:        76 |         76 |         binascii
import time:       713 |        713 |           importlib
import time:       684 |        684 |           importlib._abc
import time:       170 |       1566 |         importlib.util
import time:        82 |         82 |           zlib
import time:       551 |        551 |             _compression
import time:      1291 |       1291 |             _bz2
import time:       767 |       2608 |           bz2
import time:       710 |        710 |             _lzma
import time:       602 |       1311 |           lzma
import time:       953 |       4953 |         shutil
import time:        80 |         80 |           _struct
import time:       714 |        794 |         struct
import time:       600 |        600 |           _weakrefset
import time:       875 |       1474 |         threading
import time:       674 |        674 |           zipfile._path.glob
import time:       877 |       1551 |         zipfile._path
import time:      1175 |      11584 |       zipfile
import time:       672 |        672 |       base64
import time:      1195 |       1195 |       textwrap
import time:       676 |        676 |         linecache
import time:       641 |        641 |         _colorize
import time:      1245 |       2560 |       traceback
import time:        72 |         72 |           math
import time:        31 |         31 |             _bisect
import time:       499 |        530 |           bisect
import time:        25 |         25 |           _random
